building_id, mean_temp, std_temp, pct_above_18, pct_below_15
10000, 14.014429045743501, 6.367526498176673, 14.014429045743501, 55.509746482948174
10009, 11.005657766426127, 5.810154731039187, 11.005657766426127, 74.94848728515429
10014, 14.751924504949052, 7.033246958573728, 14.751924504949052, 52.78088801123756
10019, 14.743706641786371, 7.025611980430939, 14.743706641786371, 52.90180160934273
10029, 10.619289931608773, 6.314873101878867, 10.619289931608773, 74.51301795448481
10031, 12.513178863475895, 6.277256833355242, 12.513178863475895, 66.36419880387709
10051, 13.28955814966487, 5.999055249820978, 13.28955814966487, 62.85625091817247
10053, 11.37047780046407, 6.260128104463442, 11.37047780046407, 72.40391396332863
10056, 14.220753871990556, 6.179434290539208, 14.220753871990556, 57.05634259759922
10064, 12.723476403675553, 6.964215943332553, 12.723476403675553, 62.72478822007606
10075, 15.166230737933624, 6.441752556323345, 15.166230737933624, 47.36330712834555
10079, 15.100198003690517, 7.312182135059289, 15.100198003690517, 49.411024536611336
10080, 15.783509517901852, 7.278647520971813, 15.783509517901852, 44.6845823005555
10082, 16.47391175831698, 6.709807700074736, 16.47391175831698, 40.51491157365701
10083, 15.640788576769664, 7.120730340785142, 15.640788576769664, 45.883370877030714
10084, 15.102072334043784, 7.150199701817801, 15.102072334043784, 50.257491341665414
10085, 15.8705019646578, 7.192157373686337, 15.8705019646578, 44.71579125576671
10086, 14.396485249031594, 7.21416067914927, 14.396485249031594, 53.003383276945385
10087, 15.080518446511856, 7.272042493333494, 15.080518446511856, 49.86613056262741
10089, 13.99760956677904, 7.272693599131434, 13.99760956677904, 56.33091552159482
10090, 14.291030010886685, 6.61930093863041, 14.291030010886685, 51.19406445629492
10093, 14.10165176895596, 6.565556750328087, 14.10165176895596, 56.41722815607601
10094, 14.20063297975554, 6.759094507862039, 14.20063297975554, 54.899578613254526
10097, 14.355547154444048, 6.863281525169855, 14.355547154444048, 51.29740844702657
10117, 15.466541784571696, 6.682411876603327, 15.466541784571696, 44.470375668147256
10119, 14.088689702186024, 6.751792282305751, 14.088689702186024, 54.69511888604032
10120, 15.282199071747796, 8.031605156234313, 15.282199071747796, 47.71627461636002
10124, 13.867500390828514, 7.032083646227961, 13.867500390828514, 56.056964522724826
10126, 13.398088460056124, 6.636394898165442, 13.398088460056124, 61.0854218143311
10128, 17.427813688659683, 6.7064728491981915, 17.427813688659683, 34.875246049901584
10136, 15.426782644403048, 7.273125343033179, 15.426782644403048, 46.87830583210575
10144, 12.113394160450488, 6.126771830721333, 12.113394160450488, 68.88713159612392
10145, 10.65625347491523, 5.89198945464824, 10.65625347491523, 75.27284805921988
10150, 14.962139275911559, 7.494794314469287, 14.962139275911559, 50.731598761196516
10161, 13.45009074877493, 7.0300227489534395, 13.45009074877493, 59.462991564690505
10165, 13.054419181379684, 6.7322710823307705, 13.054419181379684, 62.0559670781893
10167, 13.232996644684892, 6.814131692105518, 13.232996644684892, 60.84869495649855
10168, 13.193753555371973, 6.900479551268551, 13.193753555371973, 60.48332142204198
10174, 16.597997463099432, 6.962041671955438, 16.597997463099432, 41.26456953873907
10176, 16.671573568085552, 6.84785779046965, 16.671573568085552, 40.62995521183965
10177, 16.639165125427905, 6.77927683636264, 16.639165125427905, 40.86905303740194
10180, 16.507906116879187, 6.856443030663005, 16.507906116879187, 42.028640961955944
10182, 16.73755347367862, 6.319964838541981, 16.73755347367862, 37.516792759669094
10198, 14.434156436550008, 7.34349695297098, 14.434156436550008, 53.19703586079132
10199, 17.248335017581276, 6.977478067937697, 17.248335017581276, 37.64288503670168
10200, 12.828872483948706, 7.2571079729980426, 12.828872483948706, 61.64236921862351
10201, 15.955290031827694, 7.271600351804941, 15.955290031827694, 44.631578947368425
10202, 13.550258573257965, 7.495478428362989, 13.550258573257965, 58.632390268471944
10203, 16.810298704253995, 6.612831546482124, 16.810298704253995, 38.8621156603473
10204, 14.769253886610867, 7.0635588672839305, 14.769253886610867, 51.7149045872535
